"id","agegroup","trialnum","horizons","config","reward_posA","reward_posB","reward_posC","reward_posD","state_posA","state_posB","state_posC","state_posD","reward_colour","smallest","med","large","largest","horizons_known","freechoice_resp.clicked_name","reward_trial","reward_gain","info_gain","reward_total","date","expName","info_gain_list","reward_gain_list","reward_max","reward_gain1","reward_gain2","reward_gain3","reward_gain4","agegroup11","agegroupa","agegroup5","info_gainX","horizons_all","h_long","h_short","h_amb","maxIndex","maxState","max_choice","reward_exploit","exploreIndex","reward_explore","reward_gain_max","uniqueRewards","reward_max_sum","reward_max_avg","largestSeen","largestSeen_sum","largestSeen_avg","exploitMaxAvgDiff","prevExploreReward","choice1","choice2","choice3","choice4","searchPattern","choice_num","explore","prop_max_reward","max_reward_selected","largestVisible","exploit","other","choiceType","choice1_exploitOnly","choice2_exploreFirstThenExploit","choice3_exploreFirstMixed","choice4_exploreFirstSampleRest","choice5_sampleAll","choice6_misc"
"SearchCosts-5_S001","5",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetd', 'free_choice_targetc']",24.61388,1.813,"[0, 0, 0, 0]",106.26145,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 1.813, 0.74, 7.10696]",28.42784,7.10696,1.813,0.74,7.10696,0,0,1,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,3,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","other","other","exploit","exploit, other, other, exploit","2",0,1,1,7.10696,0,1,"other",0,0,0,0,0,1
"SearchCosts-5_S001","5",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetd', 'free_choice_targetc']",24.61388,0.74,"[0, 0, 0, 0]",106.26145,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 1.813, 0.74, 7.10696]",28.42784,7.10696,1.813,0.74,7.10696,0,0,1,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,3,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","other","other","exploit","exploit, other, other, exploit","3",0,1,1,7.10696,0,1,"other",0,0,0,0,0,1
"SearchCosts-5_S001","5",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetd', 'free_choice_targetc']",24.61388,7.10696,"[0, 0, 0, 0]",106.26145,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 1.813, 0.74, 7.10696]",28.42784,7.10696,1.813,0.74,7.10696,0,0,1,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,3,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","other","other","exploit","exploit, other, other, exploit","4",0,1,1,7.10696,1,0,"exploit",0,0,0,0,0,1
"SearchCosts-5_S001","5",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetb']",11.06272,3.55696,"[0, 0, 0, 0]",117.32417,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 1.6544, 0.32, 3.55696]",14.22784,3.55696,1.6544,0.32,3.55696,0,0,1,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,3,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","other","other","exploit","exploit, other, other, exploit","1",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetb']",11.06272,1.6544,"[0, 0, 0, 0]",117.32417,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 1.6544, 0.32, 3.55696]",14.22784,3.55696,1.6544,0.32,3.55696,0,0,1,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,3,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","other","other","exploit","exploit, other, other, exploit","2",0,1,1,3.55696,0,1,"other",0,0,0,0,0,0
"SearchCosts-5_S001","5",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetb']",11.06272,0.32,"[0, 0, 0, 0]",117.32417,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 1.6544, 0.32, 3.55696]",14.22784,3.55696,1.6544,0.32,3.55696,0,0,1,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,3,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","other","other","exploit","exploit, other, other, exploit","3",0,1,1,3.55696,0,1,"other",0,0,0,0,0,0
"SearchCosts-5_S001","5",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetb']",11.06272,3.55696,"[0, 0, 0, 0]",117.32417,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 1.6544, 0.32, 3.55696]",14.22784,3.55696,1.6544,0.32,3.55696,0,0,1,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,3,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","other","other","exploit","exploit, other, other, exploit","4",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",6,1,"F","2.07"," 3.519"," 5.6304"," 0.9","0"," -1"," 0"," 1","red",0.9,2.07,3.519,5.6304,1,"['free_choice_targetc']",13.3308,5.6304,"[0]",130.65497,"2019_Jul_24_1413","TimeSearch_190603","[0]","[5.6304]",5.6304,5.6304,NA,NA,NA,0,0,1,NA,1,0,1,0,3,0,"exploit",5.6304,4,0.9,5.6304,1,27.603805,4.60063416666667,5.6304,27.603805,4.60063416666667,1.02976583333333,0.752,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,5.6304,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",7,1,"G","7.383075"," 0.98"," 4.92205"," 2.009","1"," 0"," -1"," 0","purple",0.98,2.009,4.92205,7.383075,1,"['free_choice_targetc']",7.91105,4.92205,"[0]",138.56602,"2019_Jul_24_1413","TimeSearch_190603","[0]","[4.92205]",7.383075,4.92205,NA,NA,NA,0,0,1,NA,1,0,1,0,1,1,"explore",4.92205,1,7.383075,4.92205,1,32.525855,4.64655071428571,4.92205,32.525855,4.64655071428571,0.275499285714285,0.9,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,0.666666666666667,0,4.92205,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",11.3861475,3.78357375,"[0, 0, 0, 0]",149.9521675,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 1.2395, 0.67, 3.78357375]",15.134295,3.78357375,1.2395,0.67,3.78357375,0,0,1,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,3,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","other","other","exploit","exploit, other, other, exploit","1",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
